,DistrictA,DistrictB,distance_between,spatial_relation
434,D9,D19,20870.162307632196,northeastern
435,D9,D20,87896.64591866563,southern
436,D9,D21,79037.96981527943,southwestern
437,D9,D22,126087.2081096482,southwestern
438,D9,D23,101245.61294776663,southern
439,D9,D24,104060.48107505795,western
440,D9,D25,74969.85502194337,southwestern
441,D9,D26,106030.23848457065,southwestern
442,D9,D27,45733.850785490475,southwestern
443,D9,D28,59025.11415455353,southwestern
444,D9,D29,71605.68641848981,southwestern
445,D9,D30,108462.82524095084,southwestern
446,D9,D31,52741.988186662165,southwestern
447,D9,D32,64392.047307058965,southwestern
448,D9,D33,44150.2654985817,southwestern
449,D9,D34,74785.92399755544,western
450,D9,D35,79674.36092840087,western
451,D9,D36,54128.43759026229,western
452,D9,D37,83357.56847078544,western
453,D9,D38,42879.868729736256,western
454,D9,D39,51129.0372103475,western
455,D9,D40,91790.6248101825,western
456,D9,D41,60119.382725416355,southwestern
457,D9,D42,45714.40093490773,southwestern
458,D9,D43,54199.56437592036,western
459,D9,D44,73968.61532032654,southwestern
460,D9,D45,61361.294664026434,western
461,D9,D46,47965.54553389076,western
462,D9,D47,38360.19536689774,western
463,D9,D48,38340.66298161596,western
464,D9,D49,14850.932624194684,western
465,D9,D50,32675.985258577926,northwestern
466,D9,D51,14279.88625157889,northwestern
467,D9,D52,0.0,northwestern
468,D10,D1,2020.442239270176,eastern
469,D10,D2,9716.548246133896,western
470,D10,D3,46252.86662363813,southeastern
471,D10,D4,0.0,southwestern
472,D10,D5,9923.833657406823,western
473,D10,D6,27176.19115570789,southern
474,D10,D7,0.0,southern
475,D10,D8,0.0,southern
476,D10,D9,0.0,northeastern
477,D10,D10,0.0,western
478,D10,D11,2630.327489616901,southwestern
479,D10,D12,0.0,western
480,D10,D13,64588.249558701835,eastern
481,D10,D14,79945.18306800794,northeastern
482,D10,D15,42349.265576164486,eastern
483,D10,D16,54603.96496219222,southern
484,D10,D17,73298.09527926662,eastern
485,D10,D18,65596.36378782903,northeastern
486,D10,D19,34993.85872745276,northeastern
487,D10,D20,63218.34684103104,southern
488,D10,D21,52978.305081429404,southwestern
489,D10,D22,102561.26098574586,southwestern
490,D10,D23,74715.16291714962,southern
491,D10,D24,82010.86542893115,western
492,D10,D25,50100.88184566528,southwestern
493,D10,D26,83154.59550394867,southwestern
494,D10,D27,19247.584841943215,southern
495,D10,D28,32786.87452526602,southwestern
496,D10,D29,46044.95363425865,southwestern
497,D10,D30,82274.17545279677,southwestern
498,D10,D31,26648.077561610135,southwestern
499,D10,D32,42449.34054688272,western
500,D10,D33,19948.27814172697,southwestern
501,D10,D34,56105.26883532657,western
502,D10,D35,61359.35369320001,western
503,D10,D36,35140.1879289287,western
504,D10,D37,63960.85013076682,western
505,D10,D38,24548.801342427683,western
506,D10,D39,32774.119706907484,western
507,D10,D40,71685.7699309765,western
508,D10,D41,35674.66563686825,southwestern
509,D10,D42,24704.639963354824,southwestern
510,D10,D43,35683.48825250258,western
511,D10,D44,53486.71494075509,southwestern
512,D10,D45,42328.88912479589,western
513,D10,D46,29607.979223189188,western
514,D10,D47,19305.292711339847,western
515,D10,D48,20862.58707688073,northwestern
516,D10,D49,0.0,western
517,D10,D50,28749.917118532267,northern
518,D10,D51,13459.108265673842,northern
519,D10,D52,0.0,northwestern
520,D11,D1,26688.56439247767,eastern
521,D11,D2,6399.527881804844,northwestern
522,D11,D3,39524.1537283691,southeastern
523,D11,D4,0.0,eastern
524,D11,D5,0.0,northwestern
525,D11,D6,23187.632568628505,southern
526,D11,D7,0.0,eastern
527,D11,D8,26212.352831622095,southern
528,D11,D9,25142.795414880926,northeastern
529,D11,D10,2630.327489616901,northeastern
530,D11,D11,0.0,western
531,D11,D12,0.0,northeastern
532,D11,D13,96007.57346386336,eastern
533,D11,D14,114857.1942479782,northeastern
534,D11,D15,71264.90667272807,eastern
535,D11,D16,86589.9289830021,southern
536,D11,D17,100203.8397562977,eastern
537,D11,D18,99563.71946172901,northeastern
538,D11,D19,66302.7015240917,northeastern
539,D11,D20,37658.353365339884,southern
540,D11,D21,29773.366335573628,southwestern
541,D11,D22,75930.52370346984,southwestern
542,D11,D23,53336.12922033521,southern
543,D11,D24,55245.38785837718,western
544,D11,D25,29406.666752063487,southern
545,D11,D26,56341.06785126032,southwestern
546,D11,D27,0.0,southeastern
547,D11,D28,9870.140140385542,southern
548,D11,D29,22234.22362205542,southwestern
549,D11,D30,59191.44129682518,southwestern
550,D11,D31,3556.8602058263036,southwestern
551,D11,D32,16049.561112256682,western
552,D11,D33,0.0,southwestern
553,D11,D34,29029.416670050083,western
